Страна,Тип компании,Кем работаю,Должность,Как отразился карантин
Молдова,Компания аутсорс,QA,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Молдова,Компания аутсорс,QA,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Молдова,Компания аутсорс,Программист,Senior,Никак
Польша,Проектная работа (например веб-студия),Программист,Mid,Никак
Польша,Продуктовая компания,Программист,Junior,Никак
Польша,IT отдел в компании,Программист,Mid,Никак
Польша,Продуктовая компания,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Продуктовая компания,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Компания аутсорс,Программист,Mid,Никак
Польша,Проектная работа (например веб-студия),Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Фрилансер,Design,Senior,Никак
Польша,Компания аутсорс,QA,Mid,Никак
Польша,IT отдел в компании,Программист,Mid,Уволили
Польша,Проектная работа (например веб-студия),Программист,другое,Никак
Польша,Компания аутсорс,Программист,Junior,Никак
Польша,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Фрилансер,Свой вариант,Junior,Никак
Польша,Продуктовая компания,Программист,другое,Никак
Польша,Компания аутсорс,Design,Mid,Уволили
Польша,Компания аутсорс,QA,Mid,Никак
Польша,IT отдел в компании,Свой вариант,другое,Никак
Польша,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Польша,Продуктовая компания,Свой вариант,другое,Никак
Польша,Проектная работа (например веб-студия),Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Продуктовая компания,Программист,Junior,Никак
Польша,Проектная работа (например веб-студия),Системный администратор,другое,Уволили
Польша,Продуктовая компания,Программист,Senior,Никак
Польша,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Компания аутсорс,Программист,Mid,Никак
Польша,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Компания аутсорс,Программист,Junior,Никак
Польша,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Польша,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Senior,Поперли заказы / Стало лучше
Россия,Фрилансер,Программист,Junior,Никак
Россия,IT отдел в компании,Design,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Junior,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Продуктовая компания,QA,Junior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Фрилансер,Программист,другое,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Проектная работа (например веб-студия),Программист,Senior,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Business Analysis,Mid,Никак
Россия,Фрилансер,Программист,,Никак
Россия,Продуктовая компания,Свой вариант,Manager,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Свой вариант,,Уволили
Россия,Продуктовая компания,Программист,Manager,Никак
Россия,IT отдел в компании,Data Science,Junior,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Свой вариант,Manager,Никак
Россия,Продуктовая компания,QA,Junior,Никак
Россия,Продуктовая компания,QA,Mid,Никак
Россия,Продуктовая компания,Product,Manager,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Product,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Manager,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,DevOps,Senior,Никак
Россия,Проектная работа (например веб-студия),QA,Senior,Никак
Россия,Продуктовая компания,Свой вариант,Junior,Никак
Россия,Проектная работа (например веб-студия),DevOps,Mid,Никак
Россия,IT отдел в компании,Свой вариант,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,QA,Junior,Уволили
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Фрилансер,Программист,Mid,Никак
Россия,Фрилансер,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Свой вариант,другое,Никак
Россия,Компания аутсорс,Свой вариант,,Никак
Россия,IT отдел в компании,Системный администратор,Senior,Никак
Россия,Проектная работа (например веб-студия),Business Analysis,Mid,Уволили
Россия,Компания аутсорс,Business Analysis,другое,Никак
Россия,Продуктовая компания,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Фрилансер,Свой вариант,другое,Никак
Россия,Фрилансер,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Свой вариант,Manager,Никак
Россия,Компания аутсорс,Свой вариант,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Фрилансер,Свой вариант,другое,Никак
Россия,Проектная работа (например веб-студия),DevOps,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Junior,Уволили
Россия,IT отдел в компании,Свой вариант,Junior,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Junior,Уволили
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,другое,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Свой вариант,Senior,Никак
Россия,Фрилансер,Свой вариант,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Проектная работа (например веб-студия),DevOps,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Поперли заказы / Стало лучше
Россия,Фрилансер,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Project Manager,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Свой вариант,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,QA,Mid,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,IT отдел в компании,QA,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Business Analysis,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Продуктовая компания,Business Analysis,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Системный администратор,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Mid,Уволили
Россия,Продуктовая компания,QA,Mid,Никак
Россия,Продуктовая компания,QA,Junior,Никак
Россия,IT отдел в компании,Системный администратор,другое,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Системный администратор,Junior,Никак
Россия,IT отдел в компании,Product,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,QA,Senior,Никак
Россия,Компания аутсорс,QA,,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Фрилансер,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Системный администратор,Senior,Поперли заказы / Стало лучше
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,другое,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,IT отдел в компании,QA,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Свой вариант,Senior,Никак
Россия,Продуктовая компания,Свой вариант,Junior,Никак
Россия,IT отдел в компании,Системный администратор,Junior,Никак
Россия,IT отдел в компании,Свой вариант,Mid,Никак
Россия,IT отдел в компании,DevOps,Mid,Никак
Россия,IT отдел в компании,QA,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,QA,Manager,Никак
Россия,Продуктовая компания,QA,Manager,Никак
Россия,IT отдел в компании,QA,Mid,Никак
Россия,Компания аутсорс,QA,Mid,Никак
Россия,IT отдел в компании,QA,Mid,Никак
Россия,IT отдел в компании,QA,,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Поперли заказы / Стало лучше
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Manager,Никак
Россия,Продуктовая компания,Программист,Manager,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Фрилансер,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,,Никак
Россия,IT отдел в компании,Программист,,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Уволили
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Свой вариант,Junior,Уволили
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Компания аутсорс,QA,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Свой вариант,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Россия,Фрилансер,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Manager,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Свой вариант,другое,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Manager,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Business Analysis,Junior,Никак
Россия,Компания аутсорс,QA,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Поперли заказы / Стало лучше
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Project Manager,Manager,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Project Manager,Senior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Свой вариант,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Системный администратор,,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Design,Senior,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Свой вариант,другое,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Свой вариант,Junior,Никак
Россия,Продуктовая компания,Свой вариант,Senior,Никак
Россия,Компания аутсорс,Свой вариант,Junior,Никак
Россия,Фрилансер,Программист,другое,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Системный администратор,Junior,Никак
Россия,Продуктовая компания,QA,,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Фрилансер,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Mid,Поперли заказы / Стало лучше
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,IT отдел в компании,Системный администратор,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Business Analysis,другое,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Фрилансер,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Свой вариант,Junior,Никак
Россия,Продуктовая компания,DevOps,Mid,Никак
Россия,Продуктовая компания,Product,Manager,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Проектная работа (например веб-студия),Программист,другое,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Проектная работа (например веб-студия),Программист,другое,Никак
Россия,Проектная работа (например веб-студия),Business Analysis,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,QA,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,IT отдел в компании,Свой вариант,Senior,Никак
Россия,Фрилансер,Business Analysis,Manager,Поперли заказы / Стало лучше
Россия,Проектная работа (например веб-студия),Product,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,QA,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Проектная работа (например веб-студия),Программист,Junior,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Business Analysis,Senior,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Свой вариант,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Product,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Компания аутсорс,Project Manager,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Senior,Поперли заказы / Стало лучше
Россия,Продуктовая компания,Свой вариант,Manager,Никак
Россия,Фрилансер,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Продуктовая компания,Программист,Senior,Уволили
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Mid,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Программист,другое,Никак
Россия,IT отдел в компании,Программист,Mid,Уволили
Россия,Компания аутсорс,Программист,другое,Уволили
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,IT отдел в компании,Системный администратор,,Поперли заказы / Стало лучше
Россия,IT отдел в компании,Системный администратор,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Свой вариант,Junior,Никак
Россия,IT отдел в компании,DevOps,Senior,Никак
Россия,Продуктовая компания,QA,Junior,Никак
Россия,Компания аутсорс,QA,Mid,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Junior,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Mid,Уволили
Россия,Продуктовая компания,Свой вариант,Senior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,IT отдел в компании,Программист,Senior,Никак
Россия,IT отдел в компании,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Свой вариант,Senior,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Senior,Никак
Россия,Компания аутсорс,Программист,Junior,Уволили
Россия,Проектная работа (например веб-студия),Программист,Mid,Никак
Россия,Фрилансер,Программист,,Никак
Россия,Продуктовая компания,Программист,Mid,Никак
Россия,Продуктовая компания,Программист,Junior,Никак
Россия,IT отдел в компании,Программист,Mid,Никак
Россия,Компания аутсорс,Design,другое,Никак
Россия,Компания аутсорс,Project Manager,Manager,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
Россия,Проектная работа (например веб-студия),Программист,Junior,Уволили
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Продуктовая компания,Свой вариант,другое,Никак
Россия,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Россия,Компания аутсорс,Программист,Mid,Никак
Россия,Компания аутсорс,Программист,Junior,Никак
