Страна,Тип компании,Кем работаю,Должность,Как отразился карантин
Беларусь,Продуктовая компания,Product,Manager,Никак
Беларусь,Продуктовая компания,Программист,Junior,Никак
Беларусь,Продуктовая компания,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Data Science,Junior,Никак
Беларусь,Проектная работа (например веб-студия),QA,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Продуктовая компания,QA,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,QA,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Свой вариант,Junior,Никак
Беларусь,Компания аутсорс,Свой вариант,Mid,Никак
Беларусь,Компания аутсорс,Business Analysis,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,QA,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,Продуктовая компания,Свой вариант,Mid,Поперли заказы / Стало лучше
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Уволили
Беларусь,IT отдел в компании,Программист,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Продуктовая компания,QA,Senior,Никак
Беларусь,Компания аутсорс,QA,Junior,Уволили
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,IT отдел в компании,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Junior,Никак
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Беларусь,IT отдел в компании,Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,IT отдел в компании,Программист,,Никак
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Проектная работа (например веб-студия),Программист,Junior,Уволили
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,IT отдел в компании,Design,Junior,Никак
Беларусь,Продуктовая компания,QA,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Junior,Уволили
Беларусь,Фрилансер,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,Фрилансер,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Фрилансер,Программист,Junior,Уволили
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Проектная работа (например веб-студия),Программист,Mid,Поперли заказы / Стало лучше
Беларусь,IT отдел в компании,Программист,Mid,Никак
